OperationName,File,Category,WASM_Priority,WASM_Rationale
a,AffineCipherDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
a,AffineCipherEncode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
A1Z26CipherDecode,A1Z26CipherDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
A1Z26CipherEncode,A1Z26CipherEncode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
AddTextToImage,AddTextToImage.mjs,media,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Adler32Checksum,Adler32Checksum.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Alphabet,BaconCipherDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Alphabet,BaconCipherEncode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Alphabet,FromBase58.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Alphabet,ToBase58.mjs,encoding/cipher,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
AlternatingCaps,AlternatingCaps.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
AMFDecode,AMFDecode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
AMFEncode,AMFEncode.mjs,misc,Low,Kodowania na TypedArray są szybkie w JS; WASM zwykle niekonieczny.
Amount,BitShiftLeft.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Amount,BitShiftRight.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
AnalyseHash,AnalyseHash.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
AnalyseUUID,AnalyseUUID.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
AtbashCipher,AtbashCipher.mjs,encoding/cipher,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Attempt to be context aware,ToCamelCase.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Attempt to be context aware,ToKebabCase.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Attempt to be context aware,ToSnakeCase.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
AvroToJSON,AvroToJSON.mjs,encoding/cipher,Low,Parsing tekstowy zwykle OK w JS; WASM tylko po profilowaniu i dla dużych payloadów.
BcryptParse,BcryptParse.mjs,crypto/hash,High,KDF (argon2/scrypt/bcrypt/pbkdf) jest CPU‑intensywny; WASM daje stabilną wydajność i bezpieczeństwo implementacji.
Bit mode,DisassembleX86.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
BlurImage,BlurImage.mjs,parsing/format,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
Bombe,Bombe.mjs,misc,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
BSONDeserialise,BSONDeserialise.mjs,crypto/hash,Low,Brak oczywistego profilu CPU‑heavy; rozważyć dopiero po profilowaniu.
